,name,population,lat,lon
0,Tbilisi,1184282,41.6934591,44.8014495
1,Batumi,204156,41.6241427,41.6249897328339
2,Kutaisi,147635,42.2588629,42.662991965434514
3,Rustavi,125103,41.54309,45.0112804
4,Gori,48143,41.9818469,44.1117811
5,Zugdidi,42998,42.5067616,41.8713297
6,Poti,41465,42.141614,41.6748028
7,Kobuleti,27546,41.84341715,41.780816097424136
8,Khashuri,26135,41.9972652,43.5989395
9,Samtredia,25318,42.16450485,42.349989689065154
10,Senaki,21596,42.2697221,42.0635021
11,Zestafoni,20814,42.1072737,43.0393685
12,Marneuli,20211,41.4718258,44.8159789
13,Telavi,19629,41.918292,45.4746493
14,Akhaltsikhe,18903,41.6395128,42.9859225
15,Ozurgeti,14785,41.9230979,42.0059263
16,Kaspi,13423,41.9245899,44.4186645
17,Chiatura,12803,42.2910245,43.2888362
18,Tsqaltubo,11281,42.3253518,42.5979488
19,Sagarejo,10871,41.7369418,45.3260554
20,Gardabani,10753,41.4596178,45.089706
21,Borjomi,10546,41.8386946,43.3791739
22,Tkibuli,9770,42.3477177,42.9980769
23,Khoni,8987,42.3245517,42.4221702
24,Bolnisi,8967,41.4493333,44.5369461
25,Akhalkalaki,8295,41.4080904,43.4843036
26,Gurjaani,8024,41.7463818,45.7946722
27,Mtskheta,7940,41.846295,44.7195591
28,Kvareli,7739,41.9482236,45.8139601
29,Akhmeta,7105,42.0341864,45.2108579
30,Kareli,6654,22.9333855,79.0618955
31,Lanchkhuti,6395,42.0875384,42.0364392
32,Tsalenjikha,6388,42.6131131,42.0677958
33,Dusheti,6167,42.0844709,44.6959371
34,Sachkhere,6140,42.3401451,43.405233
35,Dedoplistsqaro,5940,41.4639589,46.1104053
36,Lagodekhi,5918,41.8242785,46.2738235
37,Ninotsminda,5144,41.2653488,43.5922017
38,Abasha,4941,42.2049284,42.2033321
39,Tsnori,4815,41.6182456,45.9780928
40,Terjola,4644,42.1811342,42.9769943
41,Martvili,4425,42.4144214,42.3801746
42,Jvari,4361,42.7175724,42.0496433
43,Khobi,4242,42.3185298,41.9025799
44,Vani,3744,42.0851175,42.511975
45,Baghdati,3707,42.067933,42.8252215
46,Vale,3646,46.2303063,7.6605757
47,Tetritsqaro,3093,41.5427292,44.4625567
48,Tsalka,2874,41.5953381,44.0914431
49,Dmanisi,2661,41.3310492,44.2041258
50,Oni,2656,42.585344,43.4427287
51,Ambrolauri,2047,42.5193765,43.1519007
52,Sighnaghi,1485,41.6184557,45.9220959
53,Tsageri,1320,42.618725600000005,42.74685552331242
0,Surami,9800,42.0180524,43.5629931
1,Tskneti,8200,41.6939085,44.6936625
2,Chakvi,8100,41.7187049,41.7334564
3,Kazreti,7300,41.3866676,44.4186796
4,Khelvachauri,6100,41.5841525,41.6740608
5,Ochkhamuri,5000,41.850033800000006,41.832227750751585
6,Chkhorotsqu,5000,42.5258474,42.1321257
7,Laituri,3600,63.1848935,22.8432411
8,Tianeti,3600,42.1098363,44.9681531
9,Shaumiani,3600,41.34342435,44.75459305368126
10,Agara,3500,27.1752554,78.0098161
11,Makhinjauri,3400,41.6727035,41.7006469
12,Aspindza,3200,41.5727921,43.2504979
13,Manglisi,2800,41.6987722,44.3836448
14,Kveda Nasakirali,2600,41.968624,42.014584
15,Mestia,2600,43.0438877,42.7253182
16,Akhalgori,2500,42.1218994,44.4851837
17,Kharagauli,2400,42.0114411,43.2072406
18,Akhaldaba,2400,41.3034896,42.3137348
19,Didi Lilo,2400,41.7364939,44.9651932
20,Chokhatauri,2100,42.0192103,42.2399471
21,Kulashi,2000,42.2064959,42.3446657
22,Bakuriani,2000,41.7510862,43.5280065
23,Zhinvali,1900,42.1079445,44.765443
24,Kojori,1900,41.649523,44.69852166265234
25,Stepantsminda,1800,42.6579897,44.6408079
26,Lentekhi,1700,42.7908576,42.72952725789696
27,Shorapani,1600,42.0959533,43.0824776
28,Pasanauri,1600,42.3508221,44.6907531
29,Ureki,1400,41.990989549999995,41.763434536607065
30,Abastumani,1400,41.7532909,42.8319445
31,Naruja,1300,45.8276187,26.7768854
32,Keda,1200,41.5979339,41.9398463
33,Khulo,1100,41.6434669,42.31409
34,Tsagveri,1100,41.7986245,43.4832333
35,Adigeni,1000,41.706648099999995,42.69804278323947
36,Shuakhevi,0900,41.624637,42.1854878
